Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;DD406BAD-6DE1-47C2-B31A-49918402E625
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;F5B850D2-2653-4E0A-9DC9-6D1EBEF57C70
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;EB90E70D-2554-47B5-971B-6DF567BC7B9B
183838;2021-09-30;Mathematics, Natural- and Engineering Sciences;Postdoc.Mobility 2018 August;NA
169986;2021-09-30;Mathematics, Natural- and Engineering Sciences;Leadinghouses China (SSSTC) 2016;18D3A29C-70C1-47A1-9B2B-B9EC5C136C8D
169986;2021-09-30;Mathematics, Natural- and Engineering Sciences;Leadinghouses China (SSSTC) 2016;E48E553D-6886-4906-8475-10DC0C98E208
169986;2021-09-30;Mathematics, Natural- and Engineering Sciences;Leadinghouses China (SSSTC) 2016;B5D7D612-8173-405F-82E1-5EA365A1F270
182171;2021-04-30;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;NA
162619;2019-08-31;Humanities and Social Sciences;Projektförderung 2015;F4B751DD-1006-472D-81B6-70F25C5942FB
172871;2022-01-31;Biology and Medicine;Projektförderung 2016 Oktober Abt. 3;NA
164891;2017-12-29;Humanities and Social Sciences;Early Postdoc.Mobility 2015;NA
169002;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;NA
156559;2017-10-31;Humanities and Social Sciences;Projektförderung 2014;NA
159995;2018-09-30;Biology and Medicine;Projektförderung 2014;NA
171283;2019-08-31;Humanities and Social Sciences;Marie Heim Vögtlin 2016;NA
195868;2021-09-30;Humanities and Social Sciences;Spark 2020 März;1BFD66BD-F26B-4EBF-B535-1F2F20D805B9
195868;2021-09-30;Humanities and Social Sciences;Spark 2020 März;1CA21E6E-DC40-4366-AC1E-AC7E821DCE80
182450;2023-05-31;Biology and Medicine;Projektförderung 2018 April Abt. 3;NA
175880;2022-06-30;Humanities and Social Sciences;Projektförderung 2017 April Abt. 1;NA
152875;2018-02-28;Biology and Medicine;Projektförderung 2013 ;NA
172221;2018-04-30;Biology and Medicine;Early Postdoc.Mobility 2016;NA
173371;2022-03-31;Humanities and Social Sciences;Projektförderung 2016 Oktober Abt. 1;NA
176147;2021-09-30;Biology and Medicine;Projektförderung 2017 April Abt. 3;NA
167531;2020-01-31;Mathematics, Natural- and Engineering Sciences;CHIST-ERA Call 2015;NA
187970;2021-03-31;Biology and Medicine;Doc.Mobility 2019 März;NA
181778;2020-02-29;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2018 März;NA
187730;2020-06-30;Humanities and Social Sciences;Doc.Mobility 2019 März;NA
157722;2021-09-30;Mathematics, Natural- and Engineering Sciences;SNSF Consolidator Grants 2014;NA
185631;2023-01-31;Humanities and Social Sciences;NFP 76: Second Call 2018;NA
168962;2018-01-31;Humanities and Social Sciences;Early Postdoc.Mobility 2016;NA
162736;2019-10-31;Humanities and Social Sciences;Projektförderung 2015;NA
163929;2020-07-31;Biology and Medicine;SNF-Förderprofessuren Gesuch Stufe 2 2015;NA
178998;2022-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
166538;2021-09-30;Biology and Medicine;Promotion of Young Scientists in Eastern Europe ;NA
203128;2023-07-31;Biology and Medicine;Postdoc.Mobility 2021 Februar;NA
187731;2021-03-31;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
162611;2020-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
184705;2023-12-31;Biology and Medicine;Projektförderung 2018 Oktober Abt. 3;0C0153A3-94B8-4A13-8CC0-13536C397951
